Date,Open,High,Low,Close,Volume,DominanceBTC
2026-01-23,89559.68,91224.99,88578.36,89600.26,13918.48919,56.3936
2026-01-24,89600.26,89957.39,89162.08,89225.34,4226.56737,56.3936
2026-01-25,89225.34,89319.13,86074.72,86670.36,14426.22019,56.1498
2026-01-26,86670.36,88860.0,86509.63,88347.08,17766.51453,56.1498
2026-01-27,88347.08,89523.16,87304.33,89250.0,13125.40425,56.1498
2026-01-28,89249.99,90600.0,88833.65,89299.99,14332.18502,56.1498
2026-01-29,89300.0,89348.0,83383.33,84650.16,30431.38201,56.1498
2026-01-30,84650.16,84735.75,81118.0,84260.49,35195.84793,56.3936
2026-01-31,84260.5,84270.02,75719.9,78741.09,39491.89133,56.3936
2026-02-01,78741.1,79424.0,75700.0,76968.21,25395.48168,56.3936
2026-02-02,76968.22,79360.0,74604.0,78738.61,42273.59016,56.437
2026-02-03,78738.6,79186.81,72945.5,75770.21,39120.10889,56.437
2026-02-04,75770.21,76971.52,71888.0,73165.83,38375.36,56.437
2026-02-05,73165.84,73341.18,62345.0,62909.86,106298.82899,56.437
2026-02-06,62909.87,71751.33,60000.0,70580.26,92539.21531,56.437
2026-02-07,70580.26,71690.07,67300.0,69289.38,44255.48036,56.4689
2026-02-08,69289.37,72271.41,68888.0,70330.38,21420.53168,56.4689
2026-02-09,70330.38,71453.53,68308.0,70138.0,29152.72842,56.4689
2026-02-10,70138.0,70527.59,67800.0,68841.29,20373.77072,56.4689
2026-02-11,68841.28,69292.88,65756.0,67082.52,28718.24602,56.4689
2026-02-12,67082.52,68410.52,65118.0,66272.17,24271.74283,56.4697
2026-02-13,66272.17,69482.97,65872.46,68853.96,20244.54955,56.4697
2026-02-14,68853.97,70560.01,68730.13,69822.95,18114.78393,56.4697
2026-02-15,69822.94,70983.0,68000.0,68832.58,22290.05208,56.4697
2026-02-16,68832.59,70126.67,67294.11,68892.43,15515.76534,56.4705
2026-02-17,68892.43,69241.5,66621.06,67503.52,16489.06921,56.4705
2026-02-18,67503.52,68476.22,65870.0,66461.0,15492.43839,56.4729
2026-02-19,66461.0,67320.0,65631.83,67003.73,14542.26988,56.4729
2026-02-20,67003.73,68318.39,66280.2,68020.01,35351.87091,
