Date,Open,High,Low,Close,Volume,BTC_Dominance,DominanceBTC
2022-01-01,46311.746094,47827.3125,46288.484375,47686.8125,24582667004.0,42.5,
2022-01-02,47680.925781,47881.40625,46856.9375,47345.21875,27951569547.0,42.4,
2022-01-03,47343.542969,47510.726563,45835.964844,46458.117188,33071628362.0,42.3,
2022-01-04,46458.851563,47406.546875,45752.464844,45897.574219,42494677905.0,42.1,
2022-01-05,45899.359375,46929.046875,42798.222656,43569.003906,36851084859.0,41.8,
2022-01-06,43565.511719,43748.71875,42645.539063,43160.929688,30208048289.0,41.7,
2022-01-07,43153.570313,43153.570313,41077.445313,41557.902344,84196607520.0,41.5,
2022-01-08,41561.464844,42228.941406,40672.277344,41733.941406,28066355845.0,41.6,
2022-01-09,41734.726563,42663.949219,41338.160156,41911.601563,21294384372.0,41.7,
2022-01-10,41910.230469,42199.484375,39796.570313,41821.261719,32104232331.0,41.7,
2022-01-11,41819.507813,43001.15625,41407.753906,42735.855469,26327648900.0,41.9,
2022-01-12,42742.179688,44135.367188,42528.988281,43949.101563,33499938689.0,42.3,
2022-01-13,43946.742188,44278.421875,42447.042969,42591.570313,47691135082.0,42.1,
2022-01-14,42598.871094,43346.6875,41982.617188,43099.699219,23577403399.0,42.2,
2022-01-15,43101.898438,43724.671875,42669.035156,43177.398438,18371348298.0,42.2,
2022-01-16,43172.039063,43436.808594,42691.023438,43113.878906,17902097845.0,42.2,
2022-01-17,43118.121094,43179.390625,41680.320313,42250.550781,21690904261.0,42.1,
2022-01-18,42250.074219,42534.402344,41392.214844,42375.632813,22417209227.0,42.1,
2022-01-19,42374.039063,42478.304688,41242.914063,41744.328125,23091543258.0,42.0,
2022-01-20,41744.027344,43413.023438,40672.824219,40680.417969,20382033940.0,41.8,
2022-01-21,40699.605469,41060.527344,35791.425781,36457.316406,43011992031.0,41.0,
2022-01-22,36471.589844,36688.8125,34349.25,35030.25,39714385405.0,40.5,
2022-01-23,35047.359375,36433.3125,34784.96875,36276.804688,26017975951.0,40.8,
2022-01-24,36275.734375,37247.519531,33184.058594,36654.328125,41856658597.0,41.0,
2022-01-25,36654.804688,37444.570313,35779.429688,36954.003906,26428189594.0,41.1,
2022-01-26,36950.515625,38825.410156,36374.90625,36852.121094,31324598034.0,41.1,
2022-01-27,36841.878906,37148.324219,35629.28125,37138.234375,25041426629.0,41.2,
2022-01-28,37128.445313,37952.878906,36211.109375,37784.332031,22238830523.0,41.3,
2022-01-29,37780.714844,38576.261719,37406.472656,38138.179688,17194183075.0,41.4,
2022-01-30,38151.917969,38266.339844,37437.710938,37917.601563,14643548444.0,41.3,
2022-01-31,37920.28125,38647.261719,36733.574219,38483.125,20734730465.0,41.4,
2022-02-01,38481.765625,39115.132813,38113.664063,38743.273438,20288500328.0,,
2022-02-02,38743.714844,38834.617188,36832.730469,36952.984375,19155189416.0,,
2022-02-03,36944.804688,37154.601563,36375.539063,37154.601563,18591534769.0,,
2022-02-04,37149.265625,41527.785156,37093.628906,41500.875,29412210792.0,,
2022-02-05,41501.480469,41847.164063,41038.097656,41441.164063,19652846215.0,,
2022-02-06,41441.121094,42500.785156,41244.90625,42412.433594,16142097334.0,,
2022-02-07,42406.78125,44401.863281,41748.15625,43840.285156,28641855926.0,,
2022-02-08,43854.652344,45293.867188,42807.835938,44118.445313,33079398868.0,,
2022-02-09,44096.703125,44727.800781,43232.96875,44338.796875,23245887300.0,,
2022-02-10,44347.800781,45661.171875,43402.808594,43565.113281,32142048537.0,,
2022-02-11,43571.128906,43810.832031,42114.539063,42407.9375,26954925781.0,,
2022-02-12,42412.300781,42992.550781,41852.574219,42244.46875,18152390304.0,,
2022-02-13,42236.566406,42693.054688,41950.941406,42197.515625,14741589015.0,,
2022-02-14,42157.398438,42775.777344,41681.957031,42586.917969,20827783012.0,,
2022-02-15,42586.464844,44667.21875,42491.035156,44575.203125,22721659051.0,,
2022-02-16,44578.277344,44578.277344,43456.691406,43961.859375,19792547657.0,,
2022-02-17,43937.070313,44132.972656,40249.371094,40538.011719,26246662813.0,,
2022-02-18,40552.132813,40929.152344,39637.617188,40030.976563,23310007704.0,,
2022-02-19,40026.023438,40418.878906,39713.058594,40122.15625,13736557863.0,,
2022-02-20,40118.101563,40119.890625,38112.8125,38431.378906,18340576452.0,,
2022-02-21,38423.210938,39394.4375,36950.476563,37075.28125,29280402798.0,,
2022-02-22,37068.769531,38359.855469,36488.933594,38286.027344,25493150450.0,,
